K_share,D_share,AI_share,H_share,K,D,AI,H,gdp_gain,inclusion,green_score,data_security,risk_index
0.10001730556057088,0.1590440992240576,0.49262385096476335,0.24831474425060818,8001.38444484567,12723.527937924608,39409.90807718107,19865.179540048655,92031.99452189723,51700.02736191667,51204.20539296628,51614.24952089682,0.21319783415907512
0.10006617971935863,0.2485662611462158,0.4597521597247717,0.19161539940965389,8005.294377548691,19885.300891697265,36780.17277798174,15329.23195277231,91559.41728343586,50257.72992735378,52094.22515214102,51479.18080463523,0.22930030139793126
0.10000140936327641,0.2533349945384334,0.4564241835912214,0.19023941250706877,8000.112749062113,20266.79956307467,36513.93468729771,15219.153000565502,91488.80587143109,50281.25226565634,52172.42979725402,51452.878982678194,0.22918898715362018
0.10001730556057088,0.1590440992240576,0.46799721032616615,0.2729413848892054,8001.38444484567,12723.527937924608,37439.77682609329,21835.31079113643,91303.04595899474,53197.32711274338,51657.33558071646,51299.02852072277,0.19842184977591681
0.10000285266015553,0.13107606841632338,0.45975229742434404,0.30916878149917704,8000.2282128124425,10486.085473305871,36780.18379394752,24733.50251993416,90902.64149794514,54773.549872778734,51719.9258360962,51104.22718340135,0.18228277572558862
0.10006123634977093,0.10065327078818075,0.45149310428470574,0.3477923885773426,8004.898907981675,8052.26166305446,36119.44834277646,27823.39108618741,90486.72745440532,56440.06756759896,51773.00070804964,50900.22241977008,0.1651779912450178
0.10389521238423009,0.1242987392066222,0.43751990241106775,0.33428614599807993,8311.616990738408,9943.899136529775,35001.59219288542,26742.891679846394,90134.99014305486,56127.0762455599,52004.55615415387,50735.68731817518,0.16755580933992775
0.10001723511762622,0.18331673309136146,0.42320673039226586,0.29345930139874643,8001.378809410098,14665.338647308916,33856.53843138127,23476.744111899716,90113.17579875837,54988.523829631566,52559.154699569335,50803.383933031335,0.181256591411897
0.10001769088732108,0.10294630999508639,0.43751990241106775,0.35951609670652473,8001.415270985687,8235.70479960691,35001.59219288542,28761.28773652198,90086.7629350134,57204.47695467764,52038.59494819536,50729.399888648804,0.15769648034636438
0.10138996587215571,0.2492882728796984,0.4017633297902827,0.24755843145786316,8111.197269772457,19943.06183037587,32141.066383222613,19804.674516629053,89822.633517871,53667.826136259246,53128.582106048925,50718.05364057616,0.19524589542258192
0.1013390152248682,0.24487070481078174,0.39456717664155916,0.25922310332279097,8107.1212179894555,19589.65638486254,31565.374131324734,20737.84826582328,89585.82649539296,54278.36998452794,53248.200203253306,50612.62187280857,0.18914385308570336
0.1000000897101798,0.10010312628680067,0.4204472447820966,0.37944953922092295,8000.007176814384,8008.250102944054,33635.77958256773,30355.963137673836,89565.81430208884,58352.841511079445,52344.09833177844,50502.053301965716,0.14630962788543936
0.10000008877859486,0.2198963504313775,0.3926150324635943,0.28748852832643335,8000.007102287588,17591.7080345102,31409.202597087544,22999.082266114667,89412.82288981197,55444.98027474987,53239.54938029537,50529.1393164569,0.17752758983542985
0.1013390152248682,0.12171538933121044,0.39456717664155916,0.38237841880236223,8107.1212179894555,9737.231146496835,31565.374131324734,30590.27350418898,88896.15672870737,59007.53409894348,52854.10319371866,50218.52486327394,0.13988172689387485
